id,brand,category,event,event_text,name,original_timestamp,timestamp,price,product_id,quantity
ajs-next-8f7b4603060c41f541b1e0b2e7ff0fb4,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-28 19:12:16.716 UTC,2023-02-28 19:12:19.185 UTC,,,
ajs-next-61c42d5dcf8f816624cd72d35f0ea14c,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-08 06:00:27.457 UTC,2023-03-08 06:00:30.163 UTC,,,
ajs-next-ed274790e5546fcbd8a41a28ca82550e,,,product_added_to_wishlist,Product Added to Wishlist,,2022-09-07 13:04:07.379 UTC,2022-09-07 13:04:10.422 UTC,,,
ajs-next-4e0dc9af0e385b2e0da353c894e23c84,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-05 19:33:00.343 UTC,2023-02-05 19:33:03.715 UTC,,,
ajs-next-0496dbaf901d626c1270f6d869f06bfc,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-05 20:12:12.495 UTC,2023-02-05 20:12:15.156 UTC,,,
ajs-next-0497be122001797704e61b95b53d4b06,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-19 21:02:10.951 UTC,2023-02-19 21:02:13.886 UTC,,,
ajs-next-91996b4d0d06066047b9be718896106a,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-06 11:54:28.989 UTC,2023-02-06 11:54:32.754 UTC,,,
ajs-next-1fc660c75513d90ff2fcfae82c1dccea,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-06 23:34:59.001 UTC,2023-02-06 23:35:03.04 UTC,,,
ajs-next-70b8ff30ae81daf3a97383f9d8e52bcb,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-21 03:24:55.245 UTC,2023-02-21 03:24:58.3 UTC,,,
ajs-next-ede3a2e36595e3fa20cdb36433ab0170,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-11 17:13:00.49 UTC,2023-03-11 17:13:03.915 UTC,,,
ajs-next-f08ff42f9f5a0290888165ce5a7880ee,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-10 17:43:03.018 UTC,2023-01-10 17:43:05.039 UTC,,,
ajs-next-66561ee3741875aaa0d9ced98c27fb4f,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-10 17:43:03.039 UTC,2023-01-10 17:43:07.309 UTC,,,
ajs-next-04ab17b5c1b3c30f52c3e157f3c2aae8,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-16 17:46:09.629 UTC,2023-01-16 17:46:13.261 UTC,,,
ajs-next-cac6a5f4ad5343c31600db2de8362d3d,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-03 23:53:47.644 UTC,2023-01-03 23:53:49.196 UTC,,,
ajs-next-0844b8ae6a4f5f92142bab7187cc06b4,,,product_added_to_wishlist,Product Added to Wishlist,,2022-10-15 16:53:18.653 UTC,2022-10-15 16:53:20.311 UTC,,,
ajs-next-49c0f7ab29115f2334757952f7ceba0a,,,product_added_to_wishlist,Product Added to Wishlist,,2022-10-30 13:53:47.572 UTC,2022-10-30 13:53:49.069 UTC,,,
ajs-next-60b9f5674554ae77aab97159138d4876,,,product_added_to_wishlist,Product Added to Wishlist,,2022-08-19 11:47:26.434 UTC,2022-08-19 11:47:28.918 UTC,,,
ajs-next-4dd73e574ebe1abae44f080fcb3e4334,,,product_added_to_wishlist,Product Added to Wishlist,,2022-08-09 08:11:05.423 UTC,2022-08-09 08:11:06.338 UTC,,,
ajs-next-3e62190a62c9c06dde1833a040665e50,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-28 04:04:46.785 UTC,2023-01-28 04:04:50.612 UTC,,,
ajs-next-cfd5c83f541852462ca3339bf98d8199,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-16 04:27:03.268 UTC,2023-03-16 04:27:05.334 UTC,,,
ajs-next-db157633e462493edacf40c400dbb68b,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-15 11:00:28.934 UTC,2023-01-15 11:00:30.418 UTC,,,
ajs-next-6cf32717a339d7438a3a635cfa28bdda,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-04 05:59:57.083 UTC,2023-02-04 05:59:58.622 UTC,,,
ajs-next-b217b3ed4a065fcf41ee14b4c69a1c55,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-17 16:26:29.386 UTC,2023-01-17 16:26:30.997 UTC,,,
